ID,X,Y,Z,U
237,410.522,6.09192,-136.212,-16.2268
238,360.181,79.3268,-79.6362,4.55933
239,469.049,-8.36609,-78.175,48.1421
240,389.819,77.536,-134.952,-16.615
241,373.975,-60.6281,-188.537,20.3687
242,430.987,19.9347,-194.976,-23.7268
243,323.859,17.0343,-120.93,-7.22168
244,307.208,-26.889,-158.579,23.6462
245,414.246,62.9681,-142.916,31.344
246,398.755,52.8772,-162.031,11.3635
247,338.464,34.0082,-81.0504,-16.9666
248,405.951,-16.5509,-110.317,25.5835
249,413.403,-64.1217,-138.46,18.1531
250,437.451,-60.9576,-100.977,2.58545
251,330.304,-43.9069,-84.9298,-12.3267
252,423.505,-31.9537,-60.4272,-6.36108
253,430.499,79.3213,-179.471,-4.39453
254,454.26,-20.3522,-132.803,-35.1819
255,306.262,85.3088,-185.41,26.3159
256,443.036,-67.0111,-141.258,-28.1323
257,326.526,-70.7574,-117.947,-53.1189
258,314.581,48.7793,-81.8237,-9.9646
259,487.695,-35.3485,-64.2682,4.43115
260,318.396,-36.5295,-109.714,-1.073
261,389.423,-71.1914,-196.082,18.5046
262,466.992,65.8685,-158.173,-37.6648
263,335.394,-69.4061,-134.734,28.363
264,499.164,-23.7085,-169.781,-56.9092
265,359.094,20.918,-188.763,-4.63257
266,368.292,-71.8011,-100.298,-7.08984
267,374.603,-34.4092,-123.984,0.303955
268,455.603,12.3431,-114.999,57.2388
269,452.387,-59.2932,-86.0748,-24.2725
270,308.472,-16.5949,-137.477,15.0769
271,420.038,-9.44275,-175.638,53.3093
272,303.686,-10.871,-150.999,-26.1475
273,388.104,48.0158,-75.791,-33.8123
274,435.736,61.9684,-132.303,-20.7495
275,400.842,-22.5934,-132.252,26.2976
276,430.096,-6.75659,-177.963,-19.9585
277,412.012,-0.0769043,-105.895,-43.2788
278,381.488,-50.2625,-123.19,47.9553
279,385.638,61.5125,-77.8461,19.0393
280,317.2,32.8876,-193.16,12.5061
281,321.814,-56.7554,-147.051,-4.34326
282,485.333,40.3912,-166.867,-49.1638
283,407.477,-65.7697,-180.364,-12.832
284,368.091,-29.6301,-133.418,-27.4365
285,492.181,87.0007,-175.122,24.6826
286,420.074,7.98157,-180.894,19.6326
287,488.885,35.3925,-114.213,57.1802
288,331.549,-5.41077,-137.639,41.1438
289,499.725,-85.0507,-153.669,-46.1572
290,416.73,-0.609741,-66.1395,-56.792
291,466.821,45.8075,-162.74,1.4209
292,327.063,13.5571,-109.3,33.783
293,348.022,-81.9196,-156.455,-23.4485
294,489.514,26.8671,-109.304,42.5244
295,417.712,79.7607,-80.73,33.1091
296,469.83,-53.1299,-118.939,-44.3774
297,492.59,87.1051,-69.9206,44.5679
298,460.84,80.5078,-125.403,25.6531
299,482.44,77.5195,-196.92,41.3123
300,495.734,18.2538,-106.664,-43.5791
301,465.912,24.9609,-135.717,-56.9824
302,386.334,60.7599,-140.267,22.7856
303,491.321,-82.1832,-136.494,25.9644
304,386.383,-31.9922,-144.667,45.5383
305,302.411,-40.6934,-93.1842,-34.6069
306,379.822,70.9222,-93.0603,-58.7878
307,389.142,70.3619,-63.576,52.8516
308,394.073,65.5444,-139.699,46.9482
309,363.47,-44.967,-141.86,28.5315
310,438.33,-10.3546,-98.7469,20.332
311,460.138,88.3575,-103.737,-31.3769
312,466.815,-38.1226,-95.5853,34.2371
313,362.433,26.7682,-83.9771,-12.3596
314,467.084,-56.5741,-150.636,-53.335
315,352.997,-19.0338,-186.499,-44.2127
316,473.303,62.1277,-95.7135,45.5969
317,389.587,71.3452,-146.962,-48.717
318,304.523,59.1284,-102.836,8.82935
319,305.859,-34.162,-167.824,7.7124
320,427.96,18.0066,-145.556,38.8257
321,337.164,-19.66,-125.937,-3.62183
322,347.278,36.4471,-72.7875,-27.4438
323,371.32,41.5832,-92.616,3.62915
324,315.888,-79.6619,-155.139,-33.6621
325,324.377,-67.456,-66.2164,3.21533
326,375.201,-19.5557,-143.745,-4.31763
327,441.425,-79.6893,-177.228,23.6206
328,317.92,51.5369,-61.5765,-29.8498
329,322.363,-33.5138,-105.822,-29.5715
330,376.324,-25.9717,-67.2931,-16.8347
331,472.675,40.0836,-91.9623,-56.3635
332,435.559,-81.8701,-91.5436,-23.1079
333,379.224,-87.0886,-177.958,-29.9817
334,371.899,10.459,-85.8185,22.0606
335,311.023,57.464,-63.559,-9.52515
336,316.034,-16.7706,-183.777,12.8101
337,445.013,47.3071,-133.525,-17.6477
338,441.37,-74.1522,-75.0519,-23.4631
339,316.87,39.9738,-157.707,-23.1921
340,477.277,-20.9235,-111.599,38.7415
341,396.753,-57.6398,-143.625,-28.8574
342,347.394,51.6577,-86.5234,42.8723
343,390.088,38.6169,-121.545,-23.844
344,332.91,-80.5188,-165.397,25.155
345,463.385,20.517,-122.058,-41.5247
346,360.828,67.2034,-190.096,-15.5456
347,394.983,20.3741,-66.1523,37.9065
348,417.267,32.3822,-155.126,27.1069
349,450.836,46.4227,-127.804,-20.2222
350,485.73,12.1454,-176.45,46.7761
351,385.315,-19.292,-169.046,22.2949
352,410.382,-27.691,-92.8125,19.2847
353,366.974,-40.5341,-67.5537,38.8586
354,484.357,39.0125,-99.5801,-47.5488
355,429.315,56.0413,-96.709,35.4309
356,363,12.887,-175.053,-29.0369
357,446.612,-13.7494,-98.1873,-57.1289
358,302.179,-14.3372,-119.31,56.1914
359,434.65,-83.7048,-107.044,24.2725
360,321.552,79.3487,-65.5157,41.0486
361,376.526,33.1183,-189.28,-22.6721
362,492.859,27.8284,-63.7769,-20.1782
363,373.438,-42.6544,-191.921,-28.3557
364,353.192,41.0284,-137.443,53.0347
365,320.447,-21.3684,-105.604,21.1084
366,443.28,71.5704,-111.945,7.27661
367,307.263,-26.4331,-199.645,-28.7805
368,370.764,3.86719,-196.138,50.0464
369,344.049,-33.9203,-89.6252,-18.5559
370,398.505,45.8185,-76.0944,-40.4004
371,412.164,-9.70642,-97.4652,-57.4548
372,357.825,62.9022,-161.475,9.7998
373,439.972,-24.0271,-144.005,-11.0632
374,486.816,14.848,-84.3274,-10.0562
375,403.613,16.3477,-94.0771,-53.9795
376,393.616,54.7613,-190.417,39.6277
377,352.795,-61.4465,-154.097,-7.46704
378,344.69,-69.2139,-143.061,58.5718
379,361.56,-23.4888,-62.1277,17.8967
380,478.107,30.2014,-99.469,-28.5242
381,404.065,26.2958,-150.461,-45.4504
382,341.815,-73.894,-119.541,7.85523
383,355.383,4.05945,-80.7001,5.29907
384,356.952,6.54785,-187.225,36.8921
385,317.267,46.3953,-151.337,45.6592
386,406.079,66.1487,-144.33,-2.72461
387,468.933,13.244,-137.831,1.20117
388,346.515,80.2551,-96.85,-17.959
389,442.847,-86.7261,-145.176,-0.106201
390,448.572,-78.4149,-173.805,-21.5772
391,425.507,-8.21777,-112.996,59.4397
392,358.862,-0.637207,-198.564,-17.3071
393,383.209,-58.9252,-73.1079,29.6411
394,388.58,-59.0405,-112.675,9.99756
395,412.854,-66.6266,-179.616,29.7144
396,326.77,-3.97705,-172.178,-0.780029
397,417.706,56.1786,-91.4709,-59.3445
398,378.607,-56.8543,-76.4575,-27.1912
399,308.179,-49.8065,-87.5659,-7.4231
400,428.699,-1.02173,-109.556,-28.3777
401,327.637,89.6814,-134.298,47.0471
402,429.352,-50.1141,-94.0045,4.77539
403,303.137,25.3949,-125.655,-25.5579
404,313.837,-73.916,-77.1454,14.491
405,421.259,69.9225,-175.805,46.2817
406,434.711,-61.7322,-89.9713,-24.0747
407,328.839,-54.3933,-124.147,22.5842
408,327.057,-23.2141,-98.4479,12.0337
409,358.789,-25.0598,-72.9156,54.1956
410,396.796,-46.7688,-147.342,43.396
411,480.847,-46.5601,-137.242,40.1404
412,333.948,24.6368,-136.554,53.0713
413,377.387,25.0324,-107.745,-40.0305
414,450.915,40.0671,-69.9292,6.43799
415,444.177,-40.0342,-145.594,-18.9002
416,345.783,89.7968,-76.6071,26.0303
417,316.174,75.1959,-130.102,-18.8452
418,490.582,-3.08167,-64.8492,-18.5998
419,318.298,17.254,-178.796,45.3149
420,344.562,-88.4839,-128.338,53.9429
421,441.217,87.6654,-99.9902,18.6584
422,392.505,27.2791,-165.047,-3.24829
423,442.133,70.8344,-157.886,33.4973
424,307.971,-39.3475,-108.535,-30.5457
425,470.544,64.4128,-70.1172,-28.2568
426,441.608,-47.5104,-71.792,-51.9324
427,419.055,72.2186,-157.856,22.2217
428,434.405,-67.8296,-123.566,-10.177
429,399.127,-20.3851,-168.375,53.0383
430,356.006,44.2529,-117.17,33.0322
431,341.888,-88.6047,-110.133,-41.0852
432,367.963,-62.3749,-131.854,-48.0872
433,323.895,72.1857,-160.352,23.5291
434,312.036,57.1234,-126.586,-13.5608
435,417.926,69.3292,-65.0971,-23.1335
436,423.45,77.6843,-66.413,-12.8064
437,468.738,58.277,-131.841,-12.4402
438,369.214,60.9906,-101.263,-4.80469
439,393.89,-69.5325,-174.566,-9.77051
440,411.365,14.6063,-97.3071,-3.24829
441,409.491,-36.2549,-191.318,-12.1692
442,495.27,13.6121,-60.7519,53.3057
443,380.981,55.2173,-114.307,9.00879
444,462.915,-15.2435,-194.189,-33.7244
445,498.938,56.684,-172.468,-39.5874
446,391.15,53.0914,-165.419,36.8957
447,479.834,-47.5159,-186.538,-25.9277
448,455.011,11.1072,-108.77,41.0669
449,491.821,59.9194,-176.655,49.7205
450,315.979,70.3839,-138.947,19.1968
451,405.536,-7.86621,-182.415,-47.8528
452,435.266,15.7214,-197.338,1.0437
453,369.842,-16.5015,-135.452,-36.46
454,312.103,1.79627,-90.8472,-14.447
455,312.64,77.514,-64.5331,-29.1797
456,447.003,-67.7252,-143.24,55.7153
457,366.644,57.1893,-73.1207,8.00903
458,430.06,-58.5187,-78.9484,28.407
459,420.154,-62.0508,-89.4544,-26.4587
460,354.23,-1.46668,-199.41,-40.7813
461,392.835,-56.9971,-89.1211,-37.3645
462,353.601,73.96,-91.8939,-57.6782
463,436.517,-38.7598,-90.1593,14.6118
464,466.681,-31.1298,-190.84,45.293
465,460.962,-72.3505,-60.6067,-4.72778
466,424.677,66.5826,-171.661,18.9697
467,384.644,46.17,-158.596,-25.7996
468,364.783,-53.2342,-197.095,-17.7173
469,310.541,-44.9011,-184.927,17.1387
470,468.439,82.0734,-116.025,42.1216
471,426.898,74.9817,-68.1476,-6.67602
472,324.652,-42.7094,-114.811,48.1494
473,433.026,-80.9802,-122.126,-2.17896
474,418.237,-9.01428,-161.108,-37.3315
475,490.082,25.9167,-96.1407,-51.1267
476,343.134,59.6228,-60.1965,5.45654
477,496.832,-44.6814,-97.4438,40.2539
478,340.637,24.2413,-123.831,-26.3892
479,490.466,85.6769,-166.35,8.58765
480,362.75,-80.4529,-71.5314,16.3843
481,372.333,14.6393,-183.812,-24.2688
482,460.4,-14.3921,-84.4427,-14.9524
483,358.771,41.9458,-111.5,-13.927
484,496.753,1.94458,-91.6547,-2.28516
485,356.848,-25.1697,-144.368,38.9136
486,385.492,84.2047,-89.0228,59.198
487,465.167,-64.1162,-75.7526,15.7873
488,454.077,63.2867,-90.4926,55.8472
489,399.646,-66.5222,-114.931,-17.1863
490,332.074,-33.0029,-131.952,5.39063
491,444.281,-5.37231,-77.218,28.0518
492,364.374,-15.8313,-187.529,-38.2178
493,326.953,-39.6002,-166.529,-6.1853
494,349.524,-88.6816,-138.442,55.0525
495,420.19,23.7964,-130.457,-55.9534
496,402.978,61.7761,-74.3213,-53.8623
497,466.956,30.1355,-147.872,46.6443
498,345.41,37.337,-87.0319,-23.2654
499,431.427,59.9689,-88.9716,-9.18823
500,415.955,42.3908,-117.003,54.137
501,474.78,-45.5493,-87.8735,-20.5994
502,310.522,60.5731,-132.064,-8.91724
503,455.975,-56.7773,-187.704,56.25
504,345.05,-46.0986,-78.7646,-19.3945
505,357.52,34.8321,-178.142,48.5376
506,343.823,-55.5908,-166.213,5.8667
507,436.273,-30.4047,-185.546,4.11621
508,452.722,38.3038,-82.3834,-15.0037
509,499.207,-84.9957,-195.484,43.8647
510,477.515,12.5794,-82.9688,50.9509
511,304.205,-76.3934,-187.836,-10.9717
512,347.138,-35.8154,-172.695,6.35376
513,485.84,-46.593,-184.388,-36.438
514,301.978,-18.3472,-179.146,-6.67602
515,406.128,-89.2474,-68.8654,51.4673
516,407.147,19.2371,-159.108,-21.6614
517,330.359,75.7178,-159.548,-30.8459
518,390.796,-26.4331,-157.378,-27.9309
519,327.832,-69.9939,-154.349,-47.2339
520,407.33,-37.2382,-158.104,24.2248
521,497.662,67.3352,-88.3606,-19.4678
522,325.763,88.1049,-88.6127,-6.60644
523,319.562,-13.678,-83.9685,-29.8792
524,342.95,38.15,-155.737,51.8884
525,329.608,45.8789,-153.404,-9.04541
526,321.887,-24.6039,-114.632,5.59937
527,321.033,23.1152,-193.839,11.5869
528,454.98,5.40527,-130.12,-51.178
529,470.001,33.7061,-174.959,22.0239
530,452.356,28.4381,-150.516,-25.8874
531,386.389,34.7992,-99.0289,51.0828
532,455.103,-26.3782,-173.951,17.124
533,489.587,70.3949,-153.494,-41.283
534,473.578,55.5634,-147.192,-43.5425
535,309.253,-0.752563,-76.0431,-36.6211
536,350.69,-26.499,-196.988,-31.5015
537,311.096,-34.7552,-112.188,-15.6482
538,450.159,-67.0441,-73.8855,57.2681
539,447.675,-9.68445,-65.3406,-40.8911
540,469.818,69.8511,-188.563,-40.7373
541,434.18,-50.2075,-79.397,55.6274
542,379.901,77.1625,-180.654,23.2983
543,349.182,-69.6643,-73.8171,59.7656
544,486.285,-65.929,-60.0769,-54.6533
545,360.455,70.296,-71.1896,-22.4158
546,418.823,-62.4188,-140.869,38.3972
547,375.732,62.6166,-157.322,52.7051
548,444.58,36.6724,-187.507,-2.71362
549,418.494,-59.7656,-73.8129,-41.3635
550,306.14,88.9453,-153.729,-41.4624
551,328.754,-16.0565,-123.138,46.1353
552,384.882,-40.2429,-133.888,15.2234
553,388.831,-67.1759,-166.222,-34.4568
554,389.264,3.8562,-86.7499,-13.2092
555,474.127,17.0837,-72.514,-55.8728
556,368.097,-50.4657,-171.84,43.9123
557,328.925,33.4973,-82.5671,38.4302
558,448.822,-34.7388,-158.267,28.3374
559,367.169,63.2703,-103.122,1.61133
560,300.818,-51.1798,-146.043,-12.279
561,398.218,-47.5763,-174.681,5.78979
562,323.639,-81.0406,-79.931,5.47852
563,477.667,74.7125,-151.589,59.3811
564,360.345,69.5215,-155.75,45.6226
565,483.093,-43.006,-134.606,39.4592
566,335.736,-53.9044,-159.219,52.6135
567,414.856,-12.887,-115.986,-20.918
568,419.684,-14.848,-117.285,-53.8037
569,421.881,84.3201,-97.0721,9.646
570,315.356,15.683,-161.937,-8.74512
571,352.423,12.1344,-118.336,-41.7773
572,472.54,-56.6675,-166.547,-17.3621
573,429.871,73.7512,-62.0038,39.9133
574,425.922,-82.9358,-134.691,5.02075
575,453.509,29.9268,-67.1008,5.17456
576,458.331,-21.72,-81.4905,7.74536
577,324.31,19.3579,-157.032,-17.8198
578,389.069,-87.5446,-107.424,-5.35034
579,495.709,61.6003,-199.684,14.1614
580,487.164,23.302,-104.66,-11.0706
581,349.39,-57.5684,-199.97,-28.2642
582,309.65,-50.5975,-75.8935,12.9785
583,496.069,21.7584,-84.9383,-39.7302
584,464.856,23.3295,-85.6561,-36.7822
585,401.263,84.0015,-101.327,22.2144
586,300.696,-46.6809,-124.172,-20.0427
587,336.09,10.9808,-145.663,-25.5542
588,317.926,47.384,-163.654,-7.771
589,453.027,-62.6825,-126.821,-19.3799
590,308.453,-60.0348,-127.163,-2.3584
591,386.725,68.313,-101.11,58.4985
592,418.603,41.0834,-189.904,-2.78686
593,379.742,-19.649,-179.847,-37.6904
594,337.384,-52.0477,-153.08,-54.7925
595,333.374,-76.2177,-69.455,40.0891
596,409.802,-60.8478,-130.214,-45.9924
597,383.411,-11.6895,-64.0118,-53.9905
598,475.128,-28.7567,-165.966,33.9294
599,400.909,10.8929,-130.342,7.7417
600,430.164,-42.0776,-187.477,-31.9226
601,417.999,46.1206,-165.602,-31.2085
602,317.548,71.6528,-148.179,42.1948
603,378.638,-40.8746,-167.346,25.8398
604,339.014,-12.1838,-84.1479,-10.5103
605,414.417,-59.0515,-176.113,-38.9026
606,393.695,-48.6585,-82.9004,-9.49951
607,445.319,-33.5632,-130.496,-30.3699
608,341.388,65.863,-164.752,7.91748
609,305.53,-5.33935,-194.728,-58.2788
610,390.845,-34.6619,-76.6242,-23.5474
611,394.183,11.7664,-158.762,-39.7888
612,413.031,-51.8005,-118.387,7.65015
613,451.166,-83.6169,-150.828,-27.1728
614,379.449,-25.9991,-61.6748,9.76685
615,457.898,-32.4811,-142.553,-40.4553
616,325.378,-57.4475,-81.2213,42.583
617,463.092,-5.0592,-66.4899,-5.07568
618,438.177,-4.44397,-198.688,-32.7319
619,333.582,72.0758,-126.236,-34.5483
620,470.569,-59.2383,-198.996,-48.7866
621,430.042,-48.598,-178.984,21.8921
622,478.912,-41.424,-159.134,27.887
623,407.819,-37.6886,-150.619,-33.3838
624,486.469,71.2573,-189.511,31.6663
625,342.694,-48.4497,-83.2764,-24.0344
626,471.716,-5.50964,-87.7795,27.6746
627,381.647,46.0602,-95.4486,17.5745
628,481.61,-88.4235,-165.154,36.654
629,318.671,-1.59302,-114.529,2.7356
630,469.867,10.058,-165.239,14.7803
631,495.538,-5.35583,-81.922,-46.2744
